Summary,Sentiment
memory identity obviation give secret life intermittent unease reaffirming long held illusion indeed reality erasing recasts self,1
hip hop history metaphor love story,1
scope ambition accomplishment child century take kurys career whole new level,1
may dramatic gut wrenching impact holocaust film compelling story mainly way told people,1
drama cube personal revelation regarding shop mean big picture iconic character gambol fluidly story charming result,1
gentle compassionate drama grief healing,1
somewhere short tremor modern b scene neither funny clever though agreeably unpretentious way spend ninety minute,1
digital video documentary stand comedian great glimpse different world,1
unlike teen flick swimming take time tell story cast mostly little known performer key role introduces intriguing ambiguity,1
enthralling playful film constantly frustrates desire know truth man deconstructing format biography manner derrida would doubtless give blessing,1
extreme ops exceeds expectation good fun good action good acting good dialogue good pace good cinematography,1
pay nine buck hear suffering afghan refugee news still unaffected drama like make human,1
thunderous ride first quiet cadence pure finesse far shortage dilutes potency otherwise respectable action still flick fun host truly excellent sequence,1
obviously struck responsive chord many south korean work magic part world,1
run walk see barbed bracing comedy big screen,1
classy item legend may nothing left prove still chop drive show done,1
nature progress fessenden horror trilogy theme proved important especially finale,1
exactly gourmet meal fare fair even coming drive thru,1
imax made strap pair goggles shut real world take vicarious voyage last frontier space,1
merely technical logistical feat russian ark mark cinematic milestone,1
schweiger talented terribly charismatic quality essential movie star social anarchist,1
great deal sizzle little steak spectacular sizzle incarnation fizz infectious,1
original gem obsession time,1
delight newcomer story know bygone day,1
gloriously goofy gory midnight movie stuff,1
film overcomes regular minefield coming age cliche potent dos honesty sensitivity,1
sens dulled slasher film gorefests connoisseur psychological horror ticket,1
minor comedy try balance sweetness coarseness paint sad picture single scene,1
intensely personal yet unlike quill deftly show u temper time,1
lo fi special effect folk cobbled nemesis together indulge force humanity hardware way george lucas long forgotten,1
like mike win point originality succeed following feel good formula winning style offering target audience urban kid welcome role model optimism,1
hoot half great way american people see candidate like giving cent stump speech,1
far perfect heart right place innocent well meaning,1
sad superior human comedy played back road life,1
waydowntown mean perfect film boast huge charm factor smack originality,1
tim allen great role never hog scene fellow cast plenty laugh good line everyone comedy,1
load enjoyable conan esque claptrap punishing special effect soul assault mummy picture represent,1
enormously likable partly aware grasp absurd,1
british flick gleefully unconcerned plausibility yet determined entertain,1
old story lively script sharp acting partially animated interlude make kiss seem minty fresh,1
must seen believed,1
ray liotta jason patric best work underwritten role fooled nobody deserves prize,1
everything yvan charlotte everything yvan rambunctious jewish sister non jew husband feel funny true,1
sweet home alabama nice harmless date film,1
year happiest surprise movie deal real subject always surprising way,1
fan behan work irish movie general rewarded borstal boy,1
mystery transparently obvious slowly paced thriller worth recommending two marvelous performance michael caine brendan fraser,1
film faithful one presumes book twin premise become back parent idea age time fleeting precious commodity matter old,1
stephen earnhart homespun documentary mule skinner blue nothing love posse trailer park denizen,1
solidly seaworthy chiller,1
get past fantastical aspect harsh reality isle get sock eye flick visual tour de force story unlike likely see anywhere else,1
many miss hit ultimately find humor foible human behavior welcome return root genre depend surprise,1
well made thriller certain level intelligence non reactionary morality,1
enough science make count educational enough beauty make unforgettable,1
remains solid somewhat heavy handed account near disaster done howard steady imaginative hand,1
makmalbaf follows resolutely realistic path uncompromising insight harsh existence kurdish refugee iran borderland,1
good chunk running time trapped effective claustrophobic thriller,1
crush clever captivating romantic comedy welcome pinch tartness,1
nair capture complexity big family trial tribulation,1
seaside splendor shallow beautiful people nice look wait story get going,1
rare urban comedy even attempt insight honesty disarming indie,1
rank among willams best screen work,1
engagingly capture maddening magnetic ebb flow friendship,1
experience engrossing like buried new environment,1
traditional moviemaking way done lot careful period attention well welcome wit,1
thoroughly enjoyable,1
maybe past year seen release worst film comedy decade honestly analyze really bad,1
droll well acted character driven comedy unexpected deposit feeling,1
simply fun ever documentary,1
funny movie,1
watching haneke film aptly enough challenge punishment watching huppert great actress tearing landmark role riveting,1
cop story understands medium amazingly well,1
one best understated performance jack nicholson career,1
britney delivered big screen safe sound way like year old superstar girl travel fame freeway,1
outside show business enjoy close look people really want know,1
kind nervous film either give mild headache exhilarate,1
watching beanie gang put together slasher video spare part borrowed material much fun must make,1
child may understand everything happens sure even miyazaki almost certainly fascinated undoubtedly delighted,1
fascinating fun film,1
tadpole sophisticated funny good natured treat slight pleasure,1
insightful oscar nominated documentary child side ever escalating conflict say away watchful parental eye give peace yet another chance,1
admired work lot,1
whether moved love bored frustrated film still feel something,1
enough moment heartbreaking honesty keep one glued screen,1
goodness queen latifah lot offer seemed problem flaunting natural gift must strong back,1
smart sweet playful romantic comedy,1
australian actor director john polson award winning english cinematographer giles nuttgens make terrific effort disguising obvious energy innovation,1
without heavy handedness dong provides perspective intelligent grasp human foible contradiction,1
solid lump throat family entertainment derives power sticking fact,1
entertainment movie keep diverted best lightens wallet without leaving sting,1
interesting fun see goodall chimpanzee bigger life screen,1
bust gut intended merely blandly cinematic surgical examination make joke joke,1
somewhat crudely constructed gripping questing look person racked self loathing becomes enemy race,1
extends writing jean genet john rechy film fassbinder perhaps even nocturnal work goya,1
narc may get originality wear b movie heritage like badge honor,1
film striking ending one realizes long way go fully understand sexual permutation involved,1
drumline entertaining admirable,1
best early play culture clash brother,1
rare beautiful film,1
unabashedly schmaltzy thoroughly enjoyable true story,1
thoughtful look painful incident made headline,1
walk good girl mixed emotion disapproval justine combined tinge understanding action,1
tsai ming liang taken trademark style refined crystalline point,1
purely propaganda work unabashed hero worship nonetheless likely inadvertently timely invaluable implicit reminder role u foreign policy played rise castro,1
trimmed minute lavish three year old production enough grandeur scale satisfy grown escapism,1
get truly unique character study cross section americana hollywood possibly fictionalize believed,1
though film clumsy ambition equally admirably uncommercial,1
daring mesmerizing exceedingly hard forget,1
dangerous life altar boy take adolescence feel painfully true,1
moore performance impress almost much work haynes safe,1
visit spy movie territory like novel put examines footnote history seldom brought light screen keep guessing first frame last,1
absorbing slice depression life touch nerve ring true,1
mr parker brilliantly updated source grasped essence composing sorrowful hilarious tone poem alienated labor absurdist workplace sitcom,1
result something quite fresh delightful,1
persnickety preteen enjoy nonthreatening thrilling adventure,1
despite many infuriating flaw least amy self absorbed personality amy honesty win,1
one polanski best film,1
day great bond movie good bond movie still make much better typical bond knock offs,1
polished korean political action film good bad hollywood action epic progress,1
elling portrayed quiet fastidiousness per christian ellefsen truly singular character one whose frailty slightly magnified version one vex nearly everyone,1
denis co writer michele petin impeccable screenplay penetrates rawness unflinching tantalizing lead provocatuers testud parmentier give superlative performance,1
absorbing trip mind motivation people stress well keen unsentimental look variation theme motherhood,1
admired particularly unexpected downer ending,1
passion aroused discord old new culture set strange stark beauty mideast desert lovingly perceptively filmed almost taste desiccated air,1
remarkably accessible affecting,1
never mind whether buy stuff barris cia hit man kooky yet shadowy vision clooney sustains throughout daring inventive impressive,1
triumph art direction narrative art direction,1
behan knew spin tale one help think appreciate attempt turn life art,1
jir hubac script gem character engaging intimate dialogue realistic greatly moving scope silberstein family large grow attached life full strength warmth vitality,1
moore complex important film also believe immensely entertaining david goliath story still much playing,1
additional storyline interesting entertaining magical quality beginning story like new footage still love old stuff,1
though mama take bit long find rhythm third act plot development somewhat melodramatic ribald humor touching nostalgia sure please anyone search jules jim new millennium,1
might buy idea definitely want shirt,1
provides intriguing window imagination hermetic analysis todd solondz,1
windtalker shapelessly gratifying kind movie invite pick apart fault even admit somehow hit live,1
present astute appraisal middle american musical torpor desperate struggle escape,1
make u happy anyway,1
thoughtful moving piece face difficult issue honesty beauty,1
one greatest romantic comedy past decade,1
call good girl date movie anti date movie like good good horrid,1
benefit strong performance zhao dong jie face remember end,1
film brimming detail nuance one speaks volume ability human spirit find solace event could easily crush forever,1
director steven shainberg succeeded focusing intently character making quirky individual rather figure fun,1
ultimately stand forth important chronicle abuse one latin america oppressive regime,1
movie soft percolating magic deadpan suspense,1
well made often lovely depiction mystery friendship,1
using audience figurative port call dong pull even handed ideological ship dock unloading continues longer journey still ahead,1
understands generation defines music much music defines generation,1
transporter lively fun unapologetically dumb,1
witness several greek american wedding happily victim none testify comparative accuracy m vardalos memory insight,1
ever possible say williams truly inhabited character,1
presenting impossible romance impossible world pumpkin dare u say either impossible force u confront possible might make,1
impressive debut first time writer director mark romanek especially considering background music video,1
incendiary deeply thought provoking look one peculiar peculiarly venomous bigotry increasingly frightening theocracy,1
performance top notch get accent nothing becomes emotional though still positive wrench sit,1
success also tempered element prove direct antithesis get right,1
solid affecting exactly thought provoking,1
dazzlingly self assured directorial debut hard know praise first,1
parker hold true wilde vision pure comedy absolutely meaning desire anything polished sophisticated entertainment love cleverness,1
nch genuine insight make film occasional overindulgence forgivable,1
thankfully film skirt rapidly deteriorating line fantasy reality take tongue cheek attitude even push croc hunter agenda,1
ultimately message trouble every day seems sexual desire disrupts life stasis,1
like sucker good old fashion romance someone shamelessly love eat mostly martha offer perfect ingredient satisfy appetite,1
film enough everything enactment archival footage talking head interview music simply sublime,1
stab absurdist comedy mostly humor sweet gentle occasionally cloying kind become iranian specialty,1
wonderful character based comedy,1
would interesting hear side talk woman count,1
endearingly offbeat romantic comedy great meet cute gimmick,1
unique tug war viewer expectation undeniable pleasure right,1
us old time formula terribly original rather messy love big dumb happy movie big fat greek wedding,1
almost impossible moved movie depiction sacrifice stirring epilogue post soviet russia,1
know exactly godard film word image add mesmerize,1
tone balanced reflective reasonable,1
principal cast fine bishop stevenson standouts,1
could change america full necessary discussion point accessible make complex politics understandable viewer looking nothing energetic entertainment,1
striking largely celebratory film sense isolation permeates bastion individuality ikea world,1
mind set goofy comedy trooper entertain gross out bawdy comedy head game,1
somewhat blurred kinnear performance razor sharp,1
director mr ratliff wisely reject temptation make fun subject,1
anyone remembers interested one man response stroke ram das fierce grace worth seeking,1
intriguing beautiful film read book likely disappointed,1
new guy heart brain,1
savvy exploration paranoia insecurity america culture fear,1
legendary irish writer brendan behan memoir borstal boy given loving screen transferral,1
film greatest asset much another connect dot spy run picture,1
clever caper movie twist worthy david mamet enormous fun thinking audience,1
one saddest film ever seen still manages uplifting overly sentimental,1
morton usual brilliant,1
even rough edge safely sanded american insomnia still pretty darned good,1
know precisely make steven soderbergh full frontal though stop enjoying much,1
tug war ensues much snapshot modern china microcosm crash course movie mythology,1
nearly surreal dabbling french simple movie taking risk choose see enjoyed ride bump creamy depth ultimate theme,1
could say slow time could say character act way real people one thing say alias betty predictable,1
asia author anna battista italian superstar aspiring directress happens worst enemy,1
roman coppola may never become filmmaker dad heck filmmaker based cq certainly keeping eye next project,1
amusing breezily apolitical documentary life campaign trail,1
high melodrama emotionally engrossing thanks strong credible performance whole cast,1
finally genre movie delivers couple genre le,1
much enjoyable watch enlightening listen new side previous reality visit people able make impact theater world,1
spielberg rare director want invite viewer gawk applaud special effect want part action wallpaper chosen reality thankfully,1
post philosophical message personal freedom first might palatable intended,1
hu liu offer natural matter fact performance glint sorrow longing love,1
bold lyrical first feature raja amari expands pat notion middle aged woman wanna fun rousing treatise sensual empowerment,1
easier respect enthuse andersson rigorous personal vision distanced distancing,1
girl gone wild gone civil,1
tunney allowed build uncommonly human character almost real live girl complete trouble hope,1
film least surprising still ultimately satisfying think sort comfort food mind,1
clever brutal strangely soulful movie,1
always remains movingly genuine,1
intelligent fiction learning cultural clash,1
grab child imagination amaze amuse,1
remarkable minute meditation nature revolution,1
would follow haneke creepy exploration rewarded brutal committed performance huppert magimel,1
involving true story chinese actor take drug wind institution acted mostly actual people involved,1
hand year thought provoking film pay price intricate intellectual gamesmanship,1
terrific american sport movie dennis quaid athletic heart,1
high energy movie drumming marching excellent care story little weak,1
compelling revenge thriller though somewhat weakened miscast leading lady,1
amazingly perceptive subtle supportive unsentimental look mark family,1
whole lot foul freaky funny,1
family fare,1
attal mix comedy serious exploration ego jealousy within seemingly serene marriage,1
diversity artist represented term style ethnicity prevents proceeding feeling repetitious appropriately brief minute running time,1
pianist fine valedictory work polanski made richer experience making movie somehow richer bargain,1
foster nail role giving tight focused performance illuminated shard feeling,1
even pronounce gyro correctly appreciate much vardalos humor transcends ethnic boundary,1
office work really alienating bartleby effectively make,1
farrell thankfully manages outshine role successfully play foil willis world weary colonel,1
audience conditioned getting weepy saucer eyed downy cheeked moppet empathetic caretaker probably feel emotionally cheated film tart sugar free wit,1
bennett dramatization personal descent post breakup perdition morbid appeal tough shake,1
intriguing entertaining introduction johnson,1
expected sayles smart wordplay clever plot contrivance sharp ever though may overshadowed strong performance,1
model film like like,1
weber weissman demonstrate insight celebratory verve cockettes much gender sexual preference political agitprop simply triumph indomitable human rebel connect create,1
yeah flick damn good great,1
unbelievably fun film leading man away perfection,1
top bit ostentatious movie got oodles style substance,1
poignant powerful narrative reveals reading writing arithmetic subject learn life,1
nicely serf examination society transition,1
boisterous heartfelt comedy,1
tender touching drama based true story troubled african american quest come term origin reveals yearning heart acceptance within family circle,1
randy film sexy people gorgeous place pushed pulled literally figuratively desire sex luc make arousing good time,1
absorbing character study andr turpin,1
celebrated sundance slight comedy manner winning performance glossy glib charm hard beat,1
renner performance dahmer unforgettable deeply absorbing,1
one single performance award worthy would expect nothing le bunch,1
love reading poetry mean check probably love,1
though particular interest student enthusiast international dance world music film designed make viewer age cultural background rhythmic ability want get dance,1
energetic boldly provocative,1
star war back major way,1
movie album want miss,1
rare find film dazzle eye challenge brain satisfies lust fast paced action minority report delivers whole lot,1
transition adulthood fraught much truth small amount poetry girl swim,1
nothing fresh wannabe written mr demeo produced directed film charles addessi much time movie feel authentic,1
jacquot tosca treat,1
end thing audience like beatrice watchful affection monster,1
liked movie notting hill four wedding funeral bridget jones diary high fidelity want miss boy,1
gentle melding drama comedy make time something true film buff enjoy,1
romanek keep film constantly taut reflecting character instability metaphorical visual style unnerving heartbeat like score,1
whole heartedly recommend everyone see movie historical significance alone,1
hey else need shower,1
longley constructed remarkably coherent horrifically vivid snapshot turbulent day,1
although bang cliched drum time crowd pleaser fresh dialogue energetic music good natured spunk often infectious,1
often gruelling heartbreaking witness seldahl wollter sterling performance raise far level usual maudlin disease movie,1
go see enjoy,1
stunning dreamlike visuals impress even viewer little patience euro film pretension,1
george clooney prof quite talented director sam rockwell show u world class actor confession dangerous mind,1
vastness implied metropolis breathtaking,1
murderous maid may well comprehensive film also strike closest truth,1
people dogtown z boy funny aggressive alive watch wait see next,1
green gut monster movie go beaut,1
bundy michael reilly burke octopus river fear right amount charisma menace,1
deceivingly simple film one grows power retrospect,1
ana vivid vibrant individual movie focus upon make successful accessible,1
slick skillful little horror film,1
witty take change risk romance film us humour make point acceptance growth,1
anderson us hit miss aesthetic hit often enough keep film entertaining even none make lick sense,1
bubba ho tep wonderful film bravura lead performance bruce campbell deserve leave building everyone aware,1
despite long running time pace never feel slack scene scream bathroom break,1
bullock good job working natural likability,1
film precious increment artfully camouflaged everyday activity,1
kinnear give tremendous performance,1
best movie kind since brazil lucas take note use special effect,1
frailty written well even simple goddammit near end take whole meaning,1
one hour photo intriguing snapshot one man delusion bad flash insight,1
kaufman creates eerie sense time event night matthew killed,1
chalk adoration de niro murphy pretty good time movie despite myriad flaw,1
scene sensibility familiar exudes kind nostalgic spy movie charm time fresh free usual thriller nonsense seems happening first time,1
represents better average movie making demand dumb distracted audience,1
charming yet poignant tale irrevocable tie bind,1
enchanting spectacular potter fan anxious ride hogwarts express toward new year magic mischief,1
talent actor help moonlight mile rise heart sleeve writing,1
humble effort spiced wry humor genuine pathos especially morgan redgrave,1
examination aquatic life shore baja california peninsula mexico offer engrossing way demonstrate virtue imax format,1
dark disturbing also surprisingly funny,1
movie avalanche eye popping visual effect,1
start bang fizzle like wet stick dynamite end still worth look,1
impressive though film open ended finale refuse entirely close character emotional wound,1
hip ride hyper time clockstoppers lively enjoyable adventure age time,1
grenier terrific bringing unforced rapid fire delivery toback heidegger nietzsche referencing dialogue,1
polished relatively sincere piece escapism,1
story wrap back around kind elegant symmetry rare film today warned slow slog get,1
whole cast look much fun slapstick antic silly street patois tossing around obscure expression like bellini mullinski compact minute breeze,1
freaky scene crew wonder ghost imagining alive sly wink others without becoming postmodern joke made creepy men sardine warped logic,1
long leave justine wondering happen wishing best whatever might mean,1
still pretentious filled subtext entertaining enough face value recommend anyone looking something different,1
call wimp cried three time animated sweet film,1
notorious c h oodles vulgar highlight,1
inspiring heart affecting film desperate attempt vietnamese refugee living u relocation camp keep hope alive,1
level maturity displayed year old first time feature director astonishing considering inexperience subject matter,1
splendid entertainment young spirit accomplished aspect fullness spirit sense ease come experience,1
disney live action division history releasing cinematic flotsam one occasion unearthed rare gem,1
message seems facile earlier film image terrible beauty may care,1
whether kiss future cult classic destined completely forgotten open question risk taker crowd check form opinion,1
moment account life artist frida kahlo among cinema finest year unfortunately sandwiched impossibly dry account kahlo life imaginable,1
moment heart rending honest unaffected gentle way,1
stay clear reminding true story likely one helluva time movie,1
enough twist tale make far satisfying almost horror film recent memory,1
sundance film festival become buzz obsessed fan producer descend upon utah january ferret next great thing tadpole one film declared year really next pretty good thing,1
working elliott memoir rohmer fashion sort delicate articulate character relationship study favored decade,1
story feel like serious read filled heavy dos always enticing sayles dialogue,1
really count bloody sunday connects visceral level transcends language,1
crime matter le character although filmmaker supply enough complication close call double cross satisfy u,1
hilarious romantic comedy,1
actor fantastic make worth trip theatre,1
ranging funny shattering featuring year best acting personal velocity gather plenty dramatic momentum,1
complain time seeing idea repeated film bourne identity prof fresh take always possible,1
recall quiet freak out like l avventura repulsion,1
epic documentary could get spike lee jim brown american long last give subject movie worthy talent,1
story congeals feel piece star war saga falling place way make spine tingle revelation excitement,1
great comedy filmmaker know great comedy always make u laugh tim story yet barbershop show way,1
movie one best example artful large format filmmaking likely see anytime soon,1
lends narcotizing bland sinister though nearly sinister biennial disney girl movie machination biennial disney boy movie,1
well written nicely acted beautifully shot scored film work several level openly questioning social more ensnaring audience emotional pull,1
jason x cheesy effect hoary plot macabre self deprecating sense humor make lot,1
taymor utilizes idea making kahlo art living breathing part movie often catapulting artist work new idea done never vividly much passion,1
impressive flawed effort indicates real talent,1
two generation within one family test boundary intelligent restrained coming age drama,1
sound sick twisted miracle shainberg film truly romance,1
disturbing brilliant documentary,1
mesmerizing eye opening tour modern beijing culture journey rebellion retreat oblivion return,1
one best example treat subject fully aware examined much like photo know taken,1
far gloss still feel director denis villeneuve beating heart fondness character,1
prove female director make movie soft edge kathryn bigelow offer sugar coating interlude lightness film unrelentingly claustrophobic unpleasant,1
villeneuve seems realize intuitively even morality reduced option ultimate mystery life death,1
result mesmerizing filled menace squalor,1
fisher bared soul confronted shortcoming way feel human true life,1
fun code talk fly right everyone head,1
bourne jason bourne scale building like super hero stealth agent get girl super spy,1
make movie comedy way avoids serious emotion involved,1
exhilarating experience,1
cuddly sequel hit little visually polished little funnier little madcap,1
pleasure super trooper may fleeting register strongly anybody still retains soft spot precollegiate humor,1
film exhilarating watch sandler liberated constraint formula reveals unexpected depth actor,1
distant even sterile yet compulsively watchable look sordid life hogan hero star bob crane,1
film delivers full assault reno immense wit insight time travel back felt like unforgettably uncertain day,1
might predictably heartwarming tale suffused complexity,1
sound trumpet first time since desperately seeking susan madonna suck actress,1
although much like first movie based j k rowling phenomenal fantasy best seller second go round posse quite pleasing headlong thrust likably delinquent attitude,1
take care cat honestly nice little film take u examination young adult life urban south korea heart mind five principal,1
story move inexorably seven day timeframe picture becomes increasingly mesmerizing,1
maguire surprisingly effective peter spider man,1
cozy ingratiating work challenging sometimes clever always interesting reason enough see,1
film run equal part innocence wisdom wisdom come experience fun grown,1
like old myth wonder tale spun afresh,1
rarely film come along intelligent exuberant moving monsoon wedding,1
one scarcely need subtitle enjoy colorful action farce,1
quite funny type movie,1
often infuriatingly glib posturing yet made great evident care manages deliver man way arouse curiosity even unknowing viewer,1
one herzog least inspired work,1
boisterous comedy serf cruel reminder fate hundred thousand chinese one qualify terrible tragedy,1
elling really couple crazy guy therapeutic laugh along,1
never sink exploitation,1
irresistible combination rousing good story set truly grand scale,1
denying physically spectacular quality film emotional integrity performance,1
film year resolute emotional nakedness,1
exquisitely acted masterfully preciously interwoven film address fascinating intelligent manner intermingling race politics local commerce,1
stevenson performance clueless fiercely committed volatile combination,1
fine movie go see,1
shaky plot kaufman script still memorable great one liner,1
despite flaw secretary stay head make question firmly held position,1
one rare exhilarating cinematic delight get even better hindsight mull every nuance mind,1
everything work average higher mary recent comedy,1
byzantine melodrama stimulates higher brain function well libido,1
sensitive expertly acted crowd pleaser little broad comedy unabashedly sentimental tear,1
film sharp often mischievous sense humor catch guard,1
fine documentary best extends warm invitation unfamiliar world illuminates fully allows larger implication journey sink unobtrusively,1
almost every scene film gem could stand alone perfectly realized observation mood behavior intent,1
psychologically rich suspenseful moral thriller stellar performance al pacino,1
believe much laugh audacity casting sheer insanity,1
version classic like predecessor pleasure still plentiful,1
bourne identity summer screen escapism used decade geared grownup,1
provide nail biting suspense credible character without relying technology moment technique pretentious dialogue,1
tried anything would fail perhaps explode level manic whimsy right,1
sincere exploit subject honest manipulate audience,1
saturation bombing reggio image glass evocative music ultimately leaf viewer task divining meaning,1
serious sense purpose find way lay bare tragedy setting good deal warmth humor,1
depressing confirmation everything u object description unelected suspected along george w bush incurious uncharismatic overgrown frat boy mean streak mile wide,1
road movie give emotional whiplash glad went along ride,1
sure film prof always bad thing,1
lighthearted feel good film embrace time honored truth powerful thing life love,1
bowel curdling heart stopping recipe terror,1
daughter danang film seen especially aware forgotten unmentioned victim war,1
zhang yimou delivers warm genuine character lie dishonesty genuinely believe way bring happiness loved one,1
breathes surprising new life familiar amalgamating genre adding true human complexity stock character,1
hokey super cool definitely hurry sit back relax laugh little one get fuzzy treat,1
pleasant romantic comedy,1
count time,1
greengrass delivered undoubted stylistic tour de force managed element sound cinematography skill,1
smith point simple obvious people home extension particularly eccentric people particularly eccentric living space subject charmer,1
